Fig. 2A: Lean mass vs. Energy Expenditure (Light Phase),,,,,,Fig. 2A: Lean mass vs. Energy Expenditure (Dark Phase),,,,,,Fig. 2B: EE-Daily (Linear Model),,,Fig. 2C: Food Intake (g),,,Fig. 2D: Dry fecal mass (g),,,Fig. 2E: Energy in feces (kcal per g),,
GF_lean_mass,GF_energy_exp,Oligo_lean_mass,Oligo_energy_exp,SPF_lean_mass,SPF_energy_exp,GF_lean_mass_DP,GF_energy_exp_DP,Oligo_lean_mass_DP,Oligo_energy_exp_DP,SPF_lean_mass_DP,SPF_energy_exp_DP,GF_dailyenergyexp,Oligo_dailyenergyexp,SPF_dailyenergyexp,GF_foodintake,Oligo_foodintake,SPF_foodintake,GF_fecaldrymass,Oligo_fecaldrymass,SPF_fecaldrymass,GF_energyinfeces,Oligo_energyinfeces,SPF_energyinfeces
19.79,3.69,22.86,3.91,22.09,3.73,19.79,4.85,22.86,4.99,22.09,5.15,9.18,8.67,9.04,2.57,2.47,2.57,1.93,1.02,0.71,3.82,3.95,3.95
21.07,3.41,21.4,3.82,22.5,4.1,21.07,4.64,21.4,5.05,22.5,5.63,8.48,9.14,9.89,2.93,2.5,2.94,1.9,1.32,0.86,3.81,3.95,3.89
20.69,3.41,24.3,4.05,22.09,3.75,20.69,4.41,24.3,4.86,22.09,4.84,8.26,8.47,8.69,2.94,2.52,3.36,1.25,1.06,0.91,3.83,4.07,3.98
20.44,3.66,22.09,3.67,23.44,3.58,20.44,4.72,22.09,4.64,23.44,4.72,8.64,8.14,8.22,2.98,2.81,3.65,1.57,1.41,0.78,3.83,4.02,3.92
23.93,3.93,21.66,3.85,20.08,3.95,23.93,5.21,21.66,4.86,20.08,5.16,8.88,8.80,9.52,3.36,2.89,2.95,1.7,1.01,,3.86,3.99,4.01
20.73,3.22,20.82,3.69,21.97,4.13,20.73,4.52,20.82,4.89,21.97,5.11,8.23,8.83,9.38,3.55,2.92,2.96,1.12,1.32,,3.96,3.93,3.85
20.28,4.17,20.87,3.63,21.94,3.85,20.28,4.85,20.87,4.66,21.94,4.83,9.52,8.60,8.80,3.63,3.05,3.12,1.55,1.35,,3.81,4.01,3.87
21.32,4.19,21.63,3.56,19.77,3.43,21.32,5,21.63,4.76,19.77,4.39,9.58,8.43,8.32,3.69,3.3,3.26,1.42,1.15,,3.83,4.01,4.04
19.93,3.7,,,24.69,4.03,19.93,4.53,,,24.69,5.78,8.81,,9.42,3.7,3.38,3.99,1.33,,,3.91,3.97,4.06
,,,,22.11,4.03,,,,,22.11,5.51,,,9.54,3.71,3.5,4.24,1.7,,,3.88,4.04,4.08
,,,,,,,,,,,,,,,3.79,3.53,,1.83,,,3.84,4.09,4.11
,,,,,,,,,,,,,,,3.8,3.55,,1.3,,,3.8,,
,,,,,,,,,,,,,,,3.94,3.57,,,,,3.93,,
,,,,,,,,,,,,,,,3.96,3.58,,,,,3.83,,
,,,,,,,,,,,,,,,3.96,3.63,,,,,3.91,,
,,,,,,,,,,,,,,,4.09,3.69,,,,,3.84,,
,,,,,,,,,,,,,,,4.1,3.72,,,,,3.87,,
,,,,,,,,,,,,,,,4.17,3.77,,,,,3.87,,
,,,,,,,,,,,,,,,4.22,4.15,,,,,3.82,,
,,,,,,,,,,,,,,,4.28,,,,,,3.84,,
,,,,,,,,,,,,,,,4.41,,,,,,3.94,,
,,,,,,,,,,,,,,,4.46,,,,,,,,
,,,,,,,,,,,,,,,4.56,,,,,,,,
,,,,,,,,,,,,,,,4.58,,,,,,,,