,Unnamed: 0,notes,strain,species,experiment,experiment_short,exp_number,medium,experimentator,sample_number,growth_rate,use_in_study,growthcurve_OD,growthcurve_time,exp_number_usedonly,num_av,date_of_experiment,glucose,glucose_y0,glucose_OD,glucose_conc,acetate,acetate_y0,acetate_OD,acetate_conc,propionate,propionate_y0,propionate_OD,propionate_conc,succinate,succinate_y0,succinate_OD,succinate_conc,lactate,lactate_y0,lactate_OD,lactate_conc,butyrate,formate,formate_y0,formate_OD,formate_conc,maltose,maltose_y0,maltose_OD,maltose_conc,butyrate_y0,butyrate_OD,butyrate_conc,glucose_std,acetate_std,propionate_std,succinate_std,lactate_std,butyrate_std,formate_std,maltose_std,total_ferm,total_ferm_std,total_uptake,total_uptake_std,growth_rate_std
0,39.0,,DSM20083,B.adolescentis,analysis_Zur_Newruns_2023_June,m1,42,YCA,Markus,,0.676736599073815,yes,"[0.141, 0.274, 0.3, 0.383, 0.433, 0.533, nan, nan, nan, nan, nan, nan, nan]","[0.0, 0.766666667, 1.1, 1.433333333, 1.683333333, 1.85, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,,-8.853173988433403,15.272630678578649,[0.188 0.321 0.43  0.58 ],[13.51356235 12.60737826 11.40821665 10.11339416],12.2039671076068,7.979752324647643,[0.188 0.321 0.43  0.58 ],[10.33901022 11.87181886 13.10169052 15.14431572],3.829331046265992,4.043957141019775,[0.188 0.321 0.43  0.58 ],[4.64839475 5.35953584 5.84322754 6.14142429],0.8108074198772997,0.1870274668208227,[0.188 0.321 0.43  0.58 ],[0.34340089 0.40393152 0.60025099 0.63214294],3.3341547325481686,0.8883174760535963,[0.188 0.321 0.43  0.58 ],[1.53047139 1.96891177 2.26409669 2.8543711 ],,0.3667206961814968,0.7600919894339936,[0.188 0.321 0.43  0.58 ],[0.74421223 0.96613016 0.98695269 0.90012162],-0.2729955281711455,1.1411705852948428,[0.188 0.321 0.43  0.58 ],[1.08609444 1.06398544 1.01555283 0.98436942],,,,,,,,,,,,,,,,
1,30.0,,DSM20083,B.adolescentis,analysis_Zur_Newruns_2023_June,m1,33,YCA,Markus,,0.62460359469326,yes,"[0.055, 0.089, 0.112, 0.172, 0.21, 0.278, 0.393, 0.5, 0.563, nan, nan, nan, nan]","[0.0, 0.516666667, 0.85, 1.533333333, 1.9, 2.333333333, 3.0, 3.366666667, 3.583333333, nan, nan, nan, nan]",2.0,1.0,,-6.983131802616277,16.48746523524668,[0.267 0.335 0.45  0.557 0.62 ],[14.7618124  13.68429573 13.81307177 12.65523224 11.95751324],13.580201569555198,8.107230342731345,[0.267 0.335 0.45  0.557 0.62 ],[12.07856854 12.19161814 14.30215711 15.61318493 16.62089229],1.698931976266007,5.210063872834683,[0.267 0.335 0.45  0.557 0.62 ],[5.91274506 5.35024425 6.1252115  6.2948912  6.15414673],0.6259908449966409,0.2942256858042124,[0.267 0.335 0.45  0.557 0.62 ],[0.52202595 0.43904742 0.57508403 0.59879833 0.73150629],3.4115187682358967,0.5886152430921632,[0.267 0.335 0.45  0.557 0.62 ],[1.48526454 1.69365752 2.21426396 2.49550524 2.65866029],,2.6301725044379856,-0.4444509705812254,[0.267 0.335 0.45  0.557 0.62 ],[0.36557364 0.32704353 0.69097617 1.04250864 1.21429768],-0.9191787208802344,1.552516837565984,[0.267 0.335 0.45  0.557 0.62 ],[1.50058626 1.35455623 0.69050581 0.66883378 1.49925274],,,,,,,,,,,,,,,,
2,46.0,,DSM20083,B.adolescentis,analysis_Zur_Newruns_2023_June,m1,51,YCA,Markus,,0.648495129222375,yes,"[0.089, 0.129, 0.189, 0.295, 0.437, 0.517, nan, nan, nan, nan, nan, nan, nan]","[0.0, 0.516666667, 1.066666667, 1.716666667, 2.333333333, 2.766666667, nan, nan, nan, nan, nan, nan, nan]",3.0,1.0,,-8.880348863401624,16.488455131512623,[0.182 0.348 0.49  0.57 ],[14.77552638 13.53696139 12.22074694 11.30083113],10.558169713153124,7.975967499758601,[0.182 0.348 0.49  0.57 ],[10.06738104 11.41299546 12.98408328 14.22690006],1.1719558158329193,5.193409465935478,[0.182 0.348 0.49  0.57 ],[5.3220981  5.78176304 5.67708989 5.85609658],0.196952591351974,0.5430666337234695,[0.182 0.348 0.49  0.57 ],[0.5762233  0.6433119  0.56463009 0.70125585],2.9200860167654907,0.4931574322878719,[0.182 0.348 0.49  0.57 ],[1.07391342 1.41638474 1.94286423 2.1824041 ],,-0.6499736481716623,1.464339494806426,[0.182 0.348 0.49  0.57 ],[1.37496659 1.23412365 1.01674866 1.19806097],-1.8903832440382409,1.6612144050065845,[0.182 0.348 0.49  0.57 ],[1.49859491 0.70474788 0.68364139 0.75216408],,,,,,,,,,,,,,,,
3,18.0,,HM-727,B.finegoldii,analysis_stan_YCA_230712_2.5mM,r3,20,YCA,Richa,,0.702217542069778,yes,"[0.093, 0.114, 0.139, 0.174, 0.21, 0.241, 0.268, 0.327, 0.373, nan, nan, nan]","[0.0, 0.233333333, 0.483333333, 0.7, 1.05, 1.216666667, 1.416666667, 1.75, 1.95, nan, nan, nan]",4.0,1.0,,-4.342713559449411,17.584661326078344,[0.114 0.174 0.21  0.268 0.373],[17.03557675 16.83873112 16.71211383 16.47446563 15.91606855],3.3440816493081376,10.841366582284186,[0.114 0.174 0.21  0.268 0.373],[11.26262461 11.40459302 11.48767108 11.76102731 12.0998259 ],0.346536104786684,8.47360385292125,[0.114 0.174 0.21  0.268 0.373],[8.50048863 8.51585764 8.56368909 8.60492658 8.57776195],2.004002989645933,0.8450429648036389,[0.114 0.174 0.21  0.268 0.373],[1.12370951 1.1439198  1.24989635 1.37750239 1.61274618],0.2104997090196068,1.886246879823196,[0.114 0.174 0.21  0.268 0.373],[1.88565013 1.94914734 1.92303208 1.96504899 1.94811502],-0.124598844612527,1.5304638346254518,1.1887624252387767,[0.114 0.174 0.21  0.268 0.373],[1.39283786 1.43326415 1.48900115 1.60006767 1.7718396 ],0.0155658897239243,2.302651760903941,[0.114 0.174 0.21  0.268 0.373],[2.30031947 2.30436152 2.30725929 2.31676817 2.30227991],0.1810947315855434,[0.114 0.174 0.21  0.268 0.373],[0.16634575 0.14922874 0.16780183 0.14836678 0.13181247],,,,,,,,,,,,,
4,4.0,,HM-727,B.finegoldii,analysis_stan_YCA_230424_2.5mM,r1,5,YCA,Richa,,0.821864330473154,yes,"[0.048, 0.062, 0.074, 0.107, 0.141, 0.175, 0.231, 0.3, 0.452, nan, nan]","[0.0, 0.2, 0.483333333, 0.916666667, 1.266666667, 1.583333333, 1.916666667, 2.25, 2.583333333, nan, nan]",5.0,1.0,,-4.074810192111069,17.634405013329737,[0.062 0.107 0.175 0.3   0.452],[17.4694943  17.28411179 16.77994822 16.24994827 15.92253052],3.275766309230644,11.290828262583403,[0.062 0.107 0.175 0.3   0.452],[11.41037473 11.59687473 11.97578929 12.38528419 12.67605825],0.6600233560296405,7.449140530266902,[0.062 0.107 0.175 0.3   0.452],[7.46375604 7.51512918 7.59416737 7.67135933 7.72467633],1.9327916414516904,0.1174469275456946,[0.062 0.107 0.175 0.3   0.452],[0.20367549 0.28306048 0.51700549 0.76526101 0.9365718 ],0.0964675759765767,7.955584128214432,[0.062 0.107 0.175 0.3   0.452],[7.94159959 7.96989    7.99359378 7.98820682 7.99035893],0.0360340701100752,1.8228106983810413,1.0510238619182275,[0.062 0.107 0.175 0.3   0.452],[1.13024027 1.22477098 1.41054095 1.6590643  1.82830333],-0.0221838621033367,2.107047335709489,[0.062 0.107 0.175 0.3   0.452],[2.10390868 2.10691979 2.10483276 2.09677921 2.09848272],0.1119984264152355,[0.062 0.107 0.175 0.3   0.452],[0.1105051  0.11775489 0.11962184 0.12565725 0.1259464 ],,,,,,,,,,,,,
5,5.0,,HM-727,B.finegoldii,analysis_stan_YCA_230424_2.5mM,r1,6,YCA,Richa,,0.484858933052853,yes,"[0.083, 0.09, 0.104, 0.117, 0.122, 0.141, 0.162, 0.64, nan, nan, nan]","[0.0, 0.666666667, 1.0, 1.333333333, 1.583333333, 1.833333333, 2.166666667, 4.366666667, nan, nan, nan]",6.0,1.0,,-5.546639912146562,17.645635630452343,[0.083 0.104 0.162 0.64 ],[17.27387177 17.03433278 16.68246112 14.10624998],4.380909695513184,11.373454883236844,[0.083 0.104 0.162 0.64 ],[11.72608008 11.77596055 12.15552207 14.16897652],1.9927849792963217,7.684789218732088,[0.083 0.104 0.162 0.64 ],[7.86204219 7.86013236 8.02958779 8.95825888],2.137692465191418,0.7361009273394472,[0.083 0.104 0.162 0.64 ],[0.93884196 0.96449812 1.04609653 2.10914496],0.0251897285011795,1.7776632620285755,[0.083 0.104 0.162 0.64 ],[1.74678874 1.78447502 1.81545683 1.78884511],0.0076684043482375,2.0860288274874432,1.10731712382967,[0.083 0.104 0.162 0.64 ],[1.25932922 1.30316365 1.49353479 2.43632335],-0.0491457222280437,2.1885103572266114,[0.083 0.104 0.162 0.64 ],[2.16929395 2.18204691 2.19970422 2.15439124],0.1495755073847337,[0.083 0.104 0.162 0.64 ],[0.17006733 0.12672222 0.15420147 0.15489506],,,,,,,,,,,,,
6,2.0,,ATCC25285,B.fragilis,analysis_stan_YCA_230424_2.5mM,r1,3,YCA,Richa,,0.923190284271825,yes,"[0.046, 0.056, 0.071, 0.1, 0.14, 0.189, 0.256, 0.348, 0.481, nan, nan]","[0.0, 0.233333333, 0.45, 0.883333333, 1.233333333, 1.55, 1.883333333, 2.2, 2.533333333, nan, nan]",7.0,1.0,,-3.9514754869837505,17.679227166155453,[0.071 0.14  0.256 0.348 0.481],[17.39435508 17.13814717 16.65367629 16.30997012 15.77887495],3.7649236240421886,11.289167356116906,[0.071 0.14  0.256 0.348 0.481],[11.56464148 11.80567277 12.23444445 12.63269838 13.08772073],0.6949207059703406,7.504654844811113,[0.071 0.14  0.256 0.348 0.481],[7.53983756 7.60239677 7.68013448 7.79306062 7.80846202],1.7046221777760866,-0.0512981209147739,[0.071 0.14  0.256 0.348 0.481],[0.08858109 0.18207725 0.36677864 0.52828409 0.78697866],1.4976134119651066,21.554613624221883,[0.071 0.14  0.256 0.348 0.481],[21.62619028 21.80205984 21.92709533 22.10450604 22.25412362],-0.0250870460094047,2.4260896904780136,1.3576474168991122,[0.071 0.14  0.256 0.348 0.481],[1.56823041 1.66407067 1.96116535 2.19867    2.5403129 ],-0.0135070803805274,2.164958472173673,[0.071 0.14  0.256 0.348 0.481],[2.16197948 2.16498794 2.16111652 2.16221105 2.15699221],0.1413937842019968,[0.071 0.14  0.256 0.348 0.481],[0.13333304 0.14037031 0.13116914 0.15207328 0.11751034],,,,,,,,,,,,,
7,3.0,,ATCC25285,B.fragilis,analysis_stan_YCA_230424_2.5mM,r1,4,YCA,Richa,,0.472668123316775,yes,"[0.074, 0.085, 0.126, 0.17, 0.195, 0.21, 0.235, 0.272, 0.304, 0.325, 0.362]","[0.0, 0.333333333, 0.7, 1.083333333, 1.416666667, 1.75, 2.083333333, 2.416666667, 2.75, 3.0, 3.25]",8.0,1.0,,-6.248209701746614,17.131553690249202,[0.085 0.17  0.21  0.304 0.362],[16.60996857 16.09116885 15.75989565 15.27048545 14.85952477],3.5370442482770725,12.09178334388826,[0.085 0.17  0.21  0.304 0.362],[12.40716156 12.67344493 12.83953922 13.14865856 13.39050949],0.1985533892941639,8.463607588886063,[0.085 0.17  0.21  0.304 0.362],[8.49498543 8.47753761 8.50318059 8.52590272 8.54099548],3.408283657574317,0.8522861096202805,[0.085 0.17  0.21  0.304 0.362],[1.18677099 1.37102129 1.56631183 1.87987774 2.11221752],-0.0059828588049499,2.0203618441798383,[0.085 0.17  0.21  0.304 0.362],[1.9985664  2.04996428 2.02014466 2.01612171 2.01024556],-0.3991741805700955,1.9994543514211969,1.2899589329034438,[0.085 0.17  0.21  0.304 0.362],[1.53983732 1.56189406 1.65590992 1.88243992 2.07109632],-0.0395941376736893,2.152623598088008,[0.085 0.17  0.21  0.304 0.362],[2.1551728  2.140582   2.13893016 2.14401488 2.13963718],0.327630702400789,[0.085 0.17  0.21  0.304 0.362],[0.30125194 0.24182314 0.25223497 0.20753829 0.18383917],,,,,,,,,,,,,
8,15.0,,ATCC25285,B.fragilis,analysis_stan_YCA_230607_2.5mM,r2,17,YCA,Richa,,0.788404301175606,yes,"[0.083, 0.107, 0.125, 0.154, 0.183, 0.216, 0.262, 0.333, 0.412, nan, nan, nan]","[0.0, 0.233333333, 0.483333333, 0.7, 1.016666667, 1.216666667, 1.416666667, 1.75, 1.95, nan, nan, nan]",9.0,1.0,,-4.297026723483769,16.876759101013693,[0.107 0.154 0.216 0.333 0.412],[16.45370154 16.22730991 15.85688365 15.49147172 15.10346203],3.186035810457877,11.070967632548012,[0.107 0.154 0.216 0.333 0.412],[11.43976717 11.52951646 11.72518534 12.21333195 12.340373  ],0.2481677036072286,8.691602894117754,[0.107 0.154 0.216 0.333 0.412],[8.75628463 8.70213136 8.6947514  8.84265032 8.76545769],2.861377871909458,0.5592809830068909,[0.107 0.154 0.216 0.333 0.412],[0.8652683  0.98027393 1.19099109 1.54314683 1.71332853],-0.3974762360395406,3.0939039192286457,[0.107 0.154 0.216 0.333 0.412],[3.06036786 3.0419023  2.97795086 2.97141771 2.9321649 ],-0.1354859562930389,2.1354710688470586,1.2241756141644575,[0.107 0.154 0.216 0.333 0.412],[1.49507857 1.52295247 1.65021007 1.95721604 2.10496657],0.0556845541303536,2.239927704734725,[0.107 0.154 0.216 0.333 0.412],[2.23354054 2.24183989 2.27825663 2.26264101 2.25140698],0.2674043111745435,[0.107 0.154 0.216 0.333 0.412],[0.28400503 0.22247891 0.21672811 0.23392573 0.21431993],,,,,,,,,,,,,
9,35.0,,DSM20219,B.longum,analysis_Zur_Newruns_2023_June,m1,38,YCA,Markus,,0.531394348993103,yes,"[0.053, 0.066, 0.093, 0.128, 0.194, 0.234, 0.306, 0.397, nan, nan, nan, nan, nan]","[0.0, 0.566666667, 1.05, 1.733333333, 2.366666667, 2.85, 3.366666667, 3.85, nan, nan, nan, nan, nan]",10.0,1.0,,-10.734561521352685,18.240260633144512,[0.247 0.287 0.359 0.45 ],[15.63486133 14.91669281 14.7186678  13.27430447],15.47982176326661,8.079665168555918,[0.247 0.287 0.359 0.45 ],[11.78115347 12.50456968 13.94102804 14.88131011],1.57902120744102,6.310378246549349,[0.247 0.287 0.359 0.45 ],[6.6369465  6.73863897 7.06342314 6.92312986],0.4590952335682655,0.3908332130164206,[0.247 0.287 0.359 0.45 ],[0.50550591 0.52248431 0.55299722 0.59891031],3.2490962239558803,0.5039935233430638,[0.247 0.287 0.359 0.45 ],[1.28877964 1.47034198 1.6493479  1.9710408 ],,1.6123665936419391,0.6973827090327293,[0.247 0.287 0.359 0.45 ],[1.05542084 1.16736006 1.35298876 1.37916951],0.9621515575473528,0.6074735073382097,[0.247 0.287 0.359 0.45 ],[0.7220773  0.64315477 1.65808413 0.69874737],,,,,,,,,,,,,,,,
10,38.0,,DSM20219,B.longum,analysis_Zur_Newruns_2023_June,m1,41,YCA,Markus,,0.544441535641854,yes,"[0.065, 0.104, 0.123, 0.142, 0.213, 0.242, 0.278, 0.414, 0.481, nan, nan, nan, nan]","[0.0, 0.833333333, 1.3, 1.5, 2.283333333, 2.416666667, 2.916666667, 3.333333333, 3.633333333, nan, nan, nan, nan]",11.0,1.0,,-8.292037384117137,15.12519007137232,[0.112 0.26  0.325 0.461 0.528],[14.21913728 13.05054962 12.31959148 11.17210081 10.88419614],12.002952018290626,8.381937850908118,[0.112 0.26  0.325 0.461 0.528],[ 9.72848046 11.28787487 12.52222879 14.03574779 14.57233444],1.8301195760401376,5.3868070825117975,[0.112 0.26  0.325 0.461 0.528],[5.55643523 5.86548424 6.039356   6.2635606  6.29478094],0.5141667759343741,0.2880888672716946,[0.112 0.26  0.325 0.461 0.528],[0.35839612 0.39741341 0.47119969 0.49507592 0.58524439],3.107293819088507,0.6827552722363734,[0.112 0.26  0.325 0.461 0.528],[1.00003097 1.5070073  1.7238564  2.14604184 2.27573723],,1.09583059423784,0.5221198180913096,[0.112 0.26  0.325 0.461 0.528],[0.53251039 0.88568612 1.0113592  1.00696931 1.02164445],0.1175332005913904,1.0648209228366174,[0.112 0.26  0.325 0.461 0.528],[1.09955448 1.02842764 1.10856915 1.23606971 1.0496446 ],,,,,,,,,,,,,,,,
11,29.0,,DSM20219,B.longum,analysis_Zur_Newruns_2023_June,m1,32,YCA,Markus,,0.580456103955681,yes,"[0.068, 0.082, 0.101, 0.143, 0.183, 0.247, 0.28, 0.361, 0.443, 0.523, nan, nan, nan]","[0.0, 0.6, 0.9, 1.633333333, 1.95, 2.383333333, 2.6, 3.05, 3.416666667, 3.633333333, nan, nan, nan]",12.0,1.0,,-8.702493114915402,16.910026948564234,[0.158 0.24  0.337 0.418 0.5   0.58 ],[15.43607198 14.66949296 14.32422714 13.3695383  12.47595924 11.75220494],13.353757580281728,8.841745524398211,[0.158 0.24  0.337 0.418 0.5   0.58 ],[10.99602209 11.92823929 13.51467214 14.14221493 15.83296887 16.45529649],1.327498577541353,5.543847148343972,[0.158 0.24  0.337 0.418 0.5   0.58 ],[5.70928674 5.83980218 6.13735305 5.99669121 6.30030102 6.24395301],0.3905400192572141,0.4236537516167795,[0.158 0.24  0.337 0.418 0.5   0.58 ],[0.50214703 0.49476365 0.55664886 0.57923935 0.63781158 0.6433879 ],3.09275449006136,0.5882046987506099,[0.158 0.24  0.337 0.418 0.5   0.58 ],[1.08387913 1.34205035 1.62444116 1.85547374 2.1182546  2.41125   ],,0.7644216445998437,0.6903377164993445,[0.158 0.24  0.337 0.418 0.5   0.58 ],[0.77356885 0.94446813 0.97717644 0.89599152 1.11208116 1.14569374],-1.613034161381594,1.6353996775544255,[0.158 0.24  0.337 0.418 0.5   0.58 ],[1.34795244 1.41103931 0.67357576 1.39942477 0.69189447 0.68660603],,,,,,,,,,,,,,,,
12,7.0,,ATCC8483,B.ovatus,analysis_stan_YCA_230424_2.5mM,r1,8,YCA,Richa,,0.869524745987279,yes,"[nan, 0.053, 0.066, 0.086, 0.111, 0.139, 0.203, 0.256, 0.343, 0.425, nan]","[0.0, 0.216666667, 0.566666667, 0.933333333, 1.266666667, 1.6, 1.95, 2.166666667, 2.433333333, 2.6, nan]",13.0,1.0,,-5.490930306257396,16.870166307422593,[0.066 0.111 0.203 0.343 0.425],[16.45995922 16.21516035 15.7726231  15.32401568 14.2754852 ],8.622944752031696,12.039210810423862,[0.066 0.111 0.203 0.343 0.425],[12.67073071 12.80956104 13.64743484 15.82403267 15.14343537],-0.4332486364490041,9.21716686429884,[0.066 0.111 0.203 0.343 0.425],[9.12783473 9.34877541 9.34888852 8.05163968 9.71132655],1.1005369138141674,1.2415639206522466,[0.066 0.111 0.203 0.343 0.425],[1.22889845 1.3170996  1.50008474 2.07597623 1.34917695],0.9081971044511756,1.5888160995933078,[0.066 0.111 0.203 0.343],[1.60007907 1.64727469 1.93967524 1.82486192],-0.0047207048333282,10.500283227509172,0.7368075556870674,[0.066 0.111 0.203 0.343 0.425],[1.58715181 1.71956118 2.79557661 4.5465924  5.08948092],-0.0609432466040649,2.157571367896363,[0.066 0.111 0.203 0.343 0.425],[2.16233233 2.14185868 2.14341963 2.13729843 2.13298491],0.10064684654797,[0.066 0.111 0.203 0.343 0.425],[0.10510988 0.10005836 0.06830048 0.16334857 0.06099757],,,,,,,,,,,,,
