required,,,,,,,,,,not required
sample,foldername,peak_assignment,hplc_machine,peaks_manual,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,notes
Bado_1_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_1_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_2_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_2_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_2_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_3_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_3_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_3_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_4_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_4_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_4_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_5_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Bado_6_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_1_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_1_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_1_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_2_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_2_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_2_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_3_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_3_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_3_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_4_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_4_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_4_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_5_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_5_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_5_FP11,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Blon_6_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_1_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_1_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_2_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_2_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_3_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_3_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_4_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_5_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_S01_03_RI_1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_S02_04_RI_1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_S03_05_RI_1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_S04_06_RI_1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_S05_07_RI_1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Btet_S06_08_RI_1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_1_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_1_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_1_FP14-1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_1_FP14-2,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_2_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_2_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_2_FP14-1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_2_FP14-2,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_3_FP08,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_3_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_3_FP14-1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_3_FP14-2,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_4_FP09,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
Caer_4_FP14-1,Zur_Newruns_2023_June,peakinfo_standard_Zurich,Zurich_ThermoUltimate_3000,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",
