Time (hh:mm),Time (h),E.rectale08,E.rectale08,HPLC,Time (hh:mm),Time (h),R.intestinalis08,R.intestinalis08,HPLC,Time (hh:mm),Time (h),B.longum08,B.longum08,HPLC,Time (hh:mm),Time (h),B.adolescentis08,B.adolescentis08,HPLC,Time (hh:mm),Time (h),C.aerofaciens08,C.aerofaciens08,HPLC,Time (hh:mm),Time (h),B.theta08,B.theta08,HPLC,Time (hh:mm),Time (h),E.rectale09,E.rectale09,HPLC,Time (hh:mm),Time (h),R.intestinalis09,R.intestinalis09,HPLC,Time (hh:mm),Time (h),B.longum09,B.longum09,HPLC,Time (hh:mm),Time (h),E.rectale11,E.rectale11,HPLC,Time (hh:mm),Time (h),F.prausnitzii11,F.prausnitzii11,HPLC,Time (hh:mm),Time (h),B.longum11,B.longum11,HPLC,Time (hh:mm),Time (h),B.adolescentis11,B.adolescentis11,HPLC,Time (hh:mm),Time (h),B.theta,B.theta,HPLC,Time (hh:mm),Time (h),R.intestinalis12,R.intestinalis12,HPLC,Time (hh:mm),Time (h),R.intestinalis14,R.intestinalis14,HPLC,Time (hh:mm),Time (h),F.prausnitzii14-1,F.prausnitzii14-1,HPLC,Time (hh:mm),Time (h),F.prausnitzii14-2,F.prausnitzii14-2,HPLC,Time (hh:mm),Time (h),C.aerofaciens14-1,C.aerofaciens14-1,HPLC,Time (hh:mm),Time (h),C.aerofaciens14-2,C.aerofaciens14-2,HPLC,Time (hh:mm),Time (h),B.adolescentis09,B.adolescentis09,HPLC,Time (hh:mm),Time (h),C.aerofaciens09,C.aerofaciens09,HPLC,Time (hh:mm),Time (h),B.theta09,B.theta09,HPLC,Time (hh:mm),Time (h),F.prausnitzii10,F.prausnitzii10,HPLC
10:37,0,0.126,0.069,,10:40,0,0.081,0.024,,10:42,0,0.125,0.068,,10:45,0,0.112,0.055,,10:47,0,0.094,0.037,,10:37,0,0.147,0.09,Btet_1_FP08,10:40,0,0.082,0.029,,10:41,0,0.121,0.068,,10:45,0,0.106,0.053,,12:42,0,0.079,0.032,,15:22,2.8,0.165,0.118,Fpra_1_FP11,12:30,0,0.112,0.065,Blon_1_FP11,12:34,0,0.188,0.141,Bado_1_FP11,13:00,0,0.084,0.025,,10:59,0,0.285,0.238,Rint_1_FP12,17:10,0,0.115,0.055,,10:30,0,0.115,0.055,Fpra_1_FP14-1,17:10,0,0.11,0.05,,11:50,0,0.085,0.025,,17:10,0,0.109,0.049,,10:47,0,0.142,0.089,,10:48,0,0.078,0.025,,10:49,0,0.239,0.186,Btet_1_FP09,12:30,4,0.098,0.045,
11:18,0.683333333,0.165,0.108,Erec_1_FP08,11:30,0.833333333,0.103,0.046,,11:18,0.6,0.139,0.082,,11:16,0.516666667,0.146,0.089,,11:36,0.816666667,0.118,0.061,,11:20,0.716666667,0.186,0.129,,11:48,1.133333333,0.12,0.067,,11:18,0.616666667,0.177,0.124,Rint_1_FP09,11:19,0.566666667,0.119,0.066,Blon_1_FP09,13:20,0.633333333,0.122,0.075,,16:08,3.566666667,0.199,0.152,,13:20,0.833333333,0.151,0.104,,13:20,0.766666667,0.321,0.274,Bado_2_FP11,13:30,0.5,0.087,0.028,,11:22,0.383333333,0.363,0.316,Rint_2_FP12,18:15,1.083333333,0.193,0.133,Rint_1_FP14,11:50,1.333333333,0.152,0.092,Fpra_2_FP14-1,18:15,1.083333333,0.131,0.071,Fpra_1_FP14-2,12:50,1,0.089,0.029,,18:15,1.083333333,0.213,0.153,Caer_1_FP14-2,11:18,0.516666667,0.182,0.129,Bado_1_FP09,11:55,1.116666667,0.116,0.063,,11:15,0.433333333,0.315,0.262,Btet_2_FP09,14:20,5.833333333,0.131,0.078,Fpra_1_FP10
12:17,1.666666667,0.275,0.218,Erec_2_FP08,12:17,1.616666667,0.126,0.069,,11:36,0.9,0.158,0.101,Blon_1_FP08,11:36,0.85,0.169,0.112,,12:15,1.466666667,0.138,0.081,Caer_1_FP08,12:17,1.666666667,0.305,0.248,Btet_2_FP08,12:23,1.716666667,0.167,0.114,Erec_1_FP09,11:48,1.116666667,0.227,0.174,Rint_2_FP09,11:48,1.05,0.146,0.093,,13:44,1.033333333,0.14,0.093,Erec_1_FP11,16:33,3.983333333,0.222,0.175,Fpra_2_FP11,13:48,1.3,0.17,0.123,,13:40,1.1,0.347,0.3,,14:15,1.25,0.14,0.081,,11:45,0.766666667,0.459,0.412,Rint_3_FP12,18:44,1.566666667,0.262,0.202,Rint_2_FP14,12:50,2.333333333,0.152,0.092,,18:44,1.566666667,0.138,0.078,,13:44,1.9,0.106,0.046,,18:44,1.566666667,0.269,0.209,,11:51,1.066666667,0.242,0.189,,12:31,1.716666667,0.144,0.091,,11:54,1.083333333,0.5,0.447,Btet_3_FP09,15:30,7,0.23,0.177,Fpra_2_FP10
12:52,2.25,0.369,0.312,Erec_3_FP08,12:39,1.983333333,0.151,0.094,Rint_1_FP08,12:20,1.633333333,0.2,0.143,,12:17,1.533333333,0.229,0.172,,12:55,2.133333333,0.15,0.093,,12:39,2.033333333,0.37,0.313,,13:08,2.466666667,0.246,0.193,Erec_2_FP09,12:24,1.716666667,0.34,0.287,Rint_3_FP09,12:29,1.733333333,0.181,0.128,,14:25,1.716666667,0.2,0.153,Erec_2_FP11,17:00,4.433333333,0.256,0.209,,14:00,1.5,0.189,0.142,,14:00,1.433333333,0.43,0.383,Bado_3_FP11,14:30,1.5,0.16,0.101,Btet_S01_03_RI_1,12:15,1.266666667,0.673,0.626,Rint_4_FP12,18:57,1.783333333,0.293,0.233,,13:40,3.166666667,0.169,0.109,,18:57,1.783333333,0.15,0.09,,16:02,4.2,0.24,0.18,Caer_1_FP14-1,18:57,1.783333333,0.297,0.237,,12:30,1.716666667,0.348,0.295,Bado_2_FP09,13:07,2.316666667,0.19,0.137,Caer_1_FP09,,,,,,17:00,8.5,0.343,0.29,Fpra_3_FP10
13:05,2.466666667,0.48,0.423,Erec_4_FP08,13:05,2.416666667,0.189,0.132,,12:39,1.95,0.24,0.183,Blon_2_FP08,12:39,1.9,0.267,0.21,Bado_2_FP08,13:18,2.516666667,0.17,0.113,,12:52,2.25,0.39,0.333,Btet_3_FP08,13:33,2.883333333,0.352,0.299,Erec_3_FP09,13:08,2.45,0.49,0.437,Rint_4_FP09,13:07,2.366666667,0.247,0.194,Blon_2_FP09,14:55,2.216666667,0.278,0.231,Erec_3_FP11,17:15,4.683333333,0.286,0.239,Fpra_3_FP11,14:47,2.283333333,0.26,0.213,Blon_2_FP11,14:15,1.683333333,0.48,0.433,,15:10,2.166666667,0.23,0.171,Btet_S02_04_RI_1,,,,,,19:10,2,0.34,0.28,Rint_3_FP14,16:00,5.5,0.387,0.327,Fpra_3_FP14-1,19:10,2,0.165,0.105,,16:52,5.033333333,0.342,0.282,Caer_2_FP14-1,19:10,2,0.337,0.277,Caer_2_FP14-2,13:07,2.333333333,0.49,0.437,Bado_3_FP09,13:37,2.816666667,0.217,0.164,Caer_2_FP09,,,,,,17:43,9.216666667,0.46,0.407,Fpra_4_FP10
13:18,2.683333333,0.557,0.5,,13:45,3.083333333,0.27,0.213,Rint_2_FP08,13:05,2.383333333,0.304,0.247,,13:05,2.333333333,0.335,0.278,Bado_3_FP08,14:07,3.333333333,0.193,0.136,,13:05,2.466666667,0.48,0.423,Btet_4_FP08,14:05,3.416666667,0.492,0.439,Erec_4_FP09,13:35,2.9,0.67,0.617,Rint_5_FP09,13:36,2.85,0.287,0.234,Blon_3_FP09,15:22,2.666666667,0.344,0.297,Erec_4_FP11,17:41,5.116666667,0.3,0.253,Fpra_4_FP11,14:55,2.416666667,0.289,0.242,,14:25,1.85,0.58,0.533,Bado_4_FP11,15:35,2.583333333,0.31,0.251,Btet_S03_05_RI_1,,,,,,19:20,2.166666667,0.375,0.315,,16:50,6.333333333,0.473,0.413,Fpra_4_FP14-1,19:35,2.416666667,0.167,0.107,,17:07,5.283333333,0.39,0.33,,19:20,2.166666667,0.346,0.286,,13:33,2.766666667,0.57,0.517,Bado_4_FP09,14:08,3.333333333,0.241,0.188,,,,,,,18:06,9.6,0.53,0.477,Fpra_5_FP10
13:27,2.833333333,0.6,0.543,Erec_5_FP08,14:56,4.266666667,0.57,0.513,Rint_3_FP08,13:18,2.6,0.337,0.28,Blon_3_FP08,13:45,3,0.45,0.393,Bado_4_FP08,14:56,4.15,0.204,0.147,,,,,,,14:33,3.883333333,0.67,0.617,Erec_5_FP09,,,,,,14:07,3.366666667,0.359,0.306,Blon_4_FP09,15:50,3.133333333,0.512,0.465,Erec_5_FP11,18:10,5.6,0.374,0.327,Fpra_5_FP11,15:25,2.916666667,0.325,0.278,Blon_3_FP11,,,,,,16:05,3.083333333,0.4,0.341,Btet_S04_06_RI_1,,,,,,19:35,2.416666667,0.41,0.35,Rint_4_FP14,17:07,6.616666667,0.524,0.464,Fpra_5_FP14-1,19:57,2.783333333,0.214,0.154,Fpra_2_FP14-2,17:57,6.116666667,0.49,0.43,Caer_3_FP14-1,19:35,2.416666667,0.367,0.307,,,,,,,14:33,3.75,0.31,0.257,Caer_3_FP09,,,,,,,,,,
,,,,,,,,,,13:45,3.05,0.418,0.361,Blon_4_FP08,14:07,3.366666667,0.557,0.5,Bado_5_FP08,16:00,5.216666667,0.283,0.226,Caer_2_FP08,,,,,,,,,,,,,,,,14:36,3.85,0.45,0.397,Blon_5_FP09,,,,,,,,,,,15:50,3.333333333,0.461,0.414,Blon_4_FP11,,,,,,16:33,3.55,0.56,0.501,Btet_S05_07_RI_1,,,,,,19:47,2.616666667,0.522,0.462,Rint_5_FP14,17:57,7.45,0.65,0.59,Fpra_6_FP14-1,20:34,3.4,0.236,0.176,,18:15,6.416666667,0.572,0.512,Caer_4_FP14-1,19:47,2.616666667,0.405,0.345,Caer_3_FP14-2,,,,,,15:30,4.7,0.436,0.383,Caer_4_FP09,,,,,,,,,,
,,,,,,,,,,14:07,3.416666667,0.5,0.443,Blon_5_FP08,14:20,3.583333333,0.62,0.563,Bado_6_FP08,16:45,5.966666667,0.359,0.302,Caer_3_FP08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:08,3.633333333,0.528,0.481,Blon_5_FP11,,,,,,16:55,3.916666667,0.7,0.641,Btet_S06_08_RI_1,,,,,,19:57,2.783333333,0.6,0.54,Rint_6_FP14,,,,,,21:05,3.916666667,0.274,0.214,Fpra_3_FP14-2,18:30,6.666666667,0.655,0.595,Caer_5_FP14-1,19:57,2.783333333,0.45,0.39,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,14:20,3.633333333,0.58,0.523,Blon_6_FP08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:33,4.383333333,0.315,0.255,Fpra_4_FP14-2,,,,,,20:13,3.05,0.486,0.426,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:05,4.916666667,0.36,0.3,Fpra_5_FP14-2,,,,,,20:18,3.133333333,0.508,0.448,Caer_4_FP14-2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:30,5.333333333,0.421,0.361,Fpra_6_FP14-2,,,,,,20:35,3.416666667,0.55,0.49,Caer_5_FP14-2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:16,6.1,0.51,0.45,Fpra_7_FP14-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,