required,,,,,,,,,,,,not required
sample,foldername,concentration,unit,hplc_machine,peaks_manual,peak_assignment,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,notes
STD_02.1_Glu_Malt_FP_01_100_RI_1_mMhis20,Zur_Newcalibration_June2023,20,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_02_99_RI_1_mMhis15,Zur_Newcalibration_June2023,15,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_03_98_RI_1_mMhis12,Zur_Newcalibration_June2023,12,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_04_97_RI_1_mMhis10,Zur_Newcalibration_June2023,10,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_05_96_RI_1_mMhis8,Zur_Newcalibration_June2023,8,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_06_95_RI_1_mMhis5,Zur_Newcalibration_June2023,5,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_07_94_RI_1_mMhis3,Zur_Newcalibration_June2023,3,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,81,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_08_93_RI_1_mMhis1,Zur_Newcalibration_June2023,1,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,82,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_09_92_RI_1_mMhis0.5,Zur_Newcalibration_June2023,0.5,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,83,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",
STD_02.1_Glu_Malt_FP_10_91_RI_1_mMhis0.1,Zur_Newcalibration_June2023,0.1,mM,Zurich_ThermoUltimate_3000,[],None,TRUE,TRUE,84,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",