study_name,key
HMP_2012,"HMPC, 2012 (Nature; PMID: 22699609)"
LiJ_2014,"Li et al., 2014 (Nat. Biotechnol.; PMID: 24997786 )"
NielsenHB_2014,"Nielsen et al., 2014 (Nat. Biotechnol.; PMID: 24997787)"
ZellerG_2014,"Zeller et al., 2014 (Mol. Syst. Biol.; PMID: 25432777)"
BackhedF_2015,"Backherd et al., 2014 (Cell Host Microbe; PMID: 25974306)"
LifeLinesDeep_2016,"Zhernakova et al., 2016 (Science; PMID: 27126040)"
PehrssonE_2016,"Pehrsson et al., 2016 (Nature; PMID: 27172044)"
BritoIL_2016,"Brito et al., 2016 (Nature; PMID: 27409808)"
JieZ_2017,"Jie et al., 2017 (Nat. Comm.; PMID: 29018189)"
HallAB_2017,"Hall et al., 2017 (Genome Med.; PMID: 29183332)"
HMP_2019_ibdmdb,"Schirmer et al., 2018 (Nat. Microbiol.; PMID: 29183332)"
YassourM_2018,Yassour et al. 2018 (Cell Host Microbe; PMID: 30001517)
VilaAV_2018,"Vich Vila et al., 2018 (Sci. Transl. Med.; PMID: 30567928)"
PasolliE_2019,"Pasolli et al., 2019 (Cell; PMID: 30661755)"
WirbelJ_2018,"Wirbel et al., 2019 (Nat. Med.; PMID: 30661755)"
HMP_2019_t2d,"Zhou et al., 2019 (Nature; PMID: 31142858)"
YachidaS_2019,"Yachida et al., 2019 (Nat. Med.; PMID: 31171880)"
ShaoY_2019,"Shao et al., 2019 (Nature; PMID: 31534227)"
TettAJ_2019,"Tett et al., 2019 (Cell Host Microbe; PMID: 31607556 )"
RubelMA_2020,"Rubel et al., 2020 (Genome Biol.; PMID: 32450885)"
AsnicarF_2021,Asnicar et al. 2021 (Nat. Med.; PMID: 33432175)